City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,ndele,8.4109,20.6473,28.2,74,82,1.78,CF,1689696834
175,fale old settlement,-9.3852,-171.2468,27.59,79,100,3.86,TK,1689696834
176,horta,38.5333,-28.6333,22.8,75,20,2.06,PT,1689696561
177,rio grande,-32.035,-52.0986,13.06,63,78,4.29,BR,1689696659
178,kununurra,-15.7667,128.7333,18.99,72,75,2.57,AU,1689696645
179,karratha,-20.7377,116.8463,20.52,34,12,3.13,AU,1689696835
180,hermanus,-34.4187,19.2345,12.11,84,58,9.99,ZA,1689696835
181,yarmouth,41.7057,-70.2286,27.56,90,100,3.6,US,1689696835
182,makurazaki,31.2667,130.3167,25.82,90,90,4.96,JP,1689696835
183,el bagre,7.5927,-74.8086,33.67,49,99,0.37,CO,1689696835
184,constantia,44.1833,28.65,32.38,53,60,7.7,RO,1689696836
185,kharp,66.8014,65.8081,20.37,71,57,0.39,RU,1689696836
186,nova sintra,14.8667,-24.7167,22.53,75,24,7.15,CV,1689696836
187,lautoka,-17.6167,177.4667,21.92,68,75,4.63,FJ,1689696836
188,haiku-pauwela,20.9219,-156.3051,23.47,82,40,5.66,US,1689696836
189,iskateley,67.6803,53.1512,20.05,73,96,0.72,RU,1689696836
190,anadyr,64.75,177.4833,14.28,77,0,5.0,RU,1689696837
191,nema,57.5067,50.5011,19.51,77,100,1.48,RU,1689696837
192,malango,-2.9627,119.9001,19.33,96,86,0.7,ID,1689696837
193,lihue,21.9789,-159.3672,26.77,78,20,6.69,US,1689696837
194,balsas,-7.5325,-46.0356,35.88,19,3,3.27,BR,1689696837
195,leava,-14.3,-178.1667,26.45,82,100,12.38,WF,1689696837
196,bathsheba,13.2167,-59.5167,29.34,84,20,6.17,BB,1689696837
197,oriximina,-1.7656,-55.8661,34.3,41,24,3.11,BR,1689696838
198,prymors'k,46.7348,36.3443,24.85,66,98,4.52,UA,1689696838
199,akoupe,6.39,-3.9003,24.88,96,99,1.74,CI,1689696838
200,tokar,18.4254,37.729,38.74,27,5,3.28,SD,1689696838
201,chichimila,20.6167,-88.2167,32.03,41,53,2.45,MX,1689696838
202,yumbel,-37.0833,-72.5667,8.13,68,100,0.61,CL,1689696838
203,bandarbeyla,9.4942,50.8122,24.26,79,55,15.29,SO,1689696838
204,papao,-17.75,-149.55,24.82,69,38,6.94,PF,1689696839
205,la passe,45.5549,-0.8967,29.13,59,1,8.19,FR,1689696839
206,cheremukhovo,60.3484,59.9851,18.85,84,100,2.07,RU,1689696839
207,puerto baquerizo moreno,-0.9,-89.6,25.55,89,75,4.12,EC,1689696839
208,cooma,-36.2333,149.1333,0.96,81,5,3.11,AU,1689696839
209,cabo san lucas,22.8909,-109.9124,35.1,51,20,3.09,MX,1689696628
210,mooloolaba,-26.6833,153.1167,15.72,89,54,3.24,AU,1689696839
211,charlestown,-32.95,151.6667,14.85,70,1,0.45,AU,1689696839
212,manacor,39.5696,3.2096,42.13,30,1,4.14,ES,1689696840
213,brandon,27.9378,-82.2859,32.27,88,0,1.54,US,1689696840
214,las palmas,28.4204,-14.0131,25.44,69,20,7.72,ES,1689696840
215,buala,-8.145,159.5921,26.37,85,78,3.07,SB,1689696840
216,sitka,57.0531,-135.33,15.94,72,75,0.0,US,1689696840
217,kapa'a,22.0752,-159.319,27.18,87,20,6.69,US,1689696840
218,sept-iles,50.2001,-66.3821,22.29,80,75,3.09,CA,1689696841
219,qarqaraly,49.4058,75.4742,24.56,27,100,5.52,KZ,1689696841
220,san matias,-16.3667,-58.4,28.55,41,100,2.92,BO,1689696841
221,puerto deseado,-47.7503,-65.8938,5.4,62,11,8.28,AR,1689696841
222,wewak,-3.5534,143.6268,26.14,84,100,1.96,PG,1689696841
223,ta`u,-14.2336,-169.5144,26.56,79,73,3.22,AS,1689696842
224,pangody,65.85,74.4859,19.29,59,62,4.4,RU,1689696842
225,lompoc,34.6391,-120.4579,24.08,76,40,2.57,US,1689696543
226,guerrero negro,27.9769,-114.0611,23.49,65,0,4.68,MX,1689696842
227,wailua homesteads,22.0669,-159.378,26.44,90,20,6.69,US,1689696842
228,six-fours-les-plages,43.0938,5.84,36.81,56,0,1.79,FR,1689696843
229,mwene-ditu,-7.0,23.45,28.15,21,2,0.97,CD,1689696843
230,palmer,42.1584,-72.3287,29.52,66,75,3.09,US,1689696843
231,sarikamis,40.3381,42.5731,14.8,56,1,3.09,TR,1689696843
232,yeppoon,-23.1333,150.7333,16.88,83,77,4.37,AU,1689696843
233,vila franca do campo,37.7167,-25.4333,22.23,62,80,1.33,PT,1689696844
234,moose jaw,50.4001,-105.5344,20.15,52,40,7.2,CA,1689696844
235,el granada,37.5027,-122.4694,23.27,85,100,5.14,US,1689696844
236,roma,43.2128,-75.4557,26.64,71,75,0.0,US,1689696844
237,tangalle,6.024,80.7911,28.09,83,59,6.02,LK,1689696849
238,remire-montjoly,4.9167,-52.2667,31.02,62,75,2.57,GF,1689696850
239,la mira,18.035,-102.3266,30.6,59,100,0.08,MX,1689696855
240,kenai,60.5544,-151.2583,14.52,95,75,2.57,US,1689696722
241,atafu village,-8.5421,-172.5159,27.22,83,80,3.62,TK,1689696855
242,dolinsk,47.35,142.8,13.69,95,8,2.78,RU,1689696855
243,ilhabela,-23.7781,-45.3581,20.53,88,99,3.16,BR,1689696855
244,margaret river,-33.95,115.0667,13.15,80,91,10.71,AU,1689696856
245,chom thong,18.4174,98.6743,28.14,93,100,1.12,TH,1689696856
246,itaituba,-4.2761,-55.9836,35.09,49,20,2.57,BR,1689696841
247,fortuna,40.5982,-124.1573,17.18,89,75,0.89,US,1689696856
